old                                      new
00673a25a99fdef4d75508e07d41502738cc6a83 67dd9112694ecac326db0c13d59407419657d6e7
00f7896c2eaa03c6b23edf2ead27a20fec158eca 762761ee63360b780cb887cdd96f65e84802d86a
0127b75802604c7c8a06e25a966bb2d4acff6e86 c36435fad4beb57b06b2d8149ccb57c151b9de8b
01b988887cc2df7e67f4aaed43bda78ef2d5de37 31c50647543b2321cd96707c31aa309e46b65b31
01f21e4100015d9e37e0e66856e3d4c82afbbc9e ffe8f18e491588e65bb59428d57360b45612ff16
028d4fe9cde1bd337f89932386561ce3637fecee acac3ccd20c68057c691967b601eed89d03017c9
02c82028869ae1f0830416f31d0662a8fba64931 b9fe080e7c4cde99f476758b96cbe616dd3853c2
02de27d5914244cb27f023befafcd53abdb6251c c9fd478e76b6f8e6b9fe249643614499181dd53d
038e5e76fa36a11f62c0dba975c8e7af50939580 026ed819ef436209fecefd2906dbf0fd5cb0e8ea
039047ce6dd279f15fda205be10ff9eb128e116c 288294c6567a785f681c97c01f1ca60dc205a8b0
0445e55abbac3bdac7003b6a8c7c0687756da722 4670d3ef323c9591233e66a27057ac652a836ac4
045e3ce6dd56bf57b2127960fd1ebad4b9858026 c8d592b0746a187abc8c59d1337928d626bf1a6f
0480a293e6b9ff39f50c68dc5a76e936555bf937 e3d7b78f9af8ac3dce175b1aba5fa06bcfdf4cb2
04ac398f959722fb6b4b83f815743d551176a966 65158c36b4cfabbef53f2f3c4ea5ed93fac8e9cb
04c0816411230d8aabfb9e21032c6c9433c33bf0 2a4be7e001258807d756c6144d92f9027097f27b
0566c5e7cdcc5216ae98145caf0190d1b5886723 3687c89d0f4663484b3388134a122e3f23551bf1
068dc600274adc0a846ceef32e12afffe16fd116 f0e403a00dbac631379bb87090bb4b81833616ae
06bed289792aa450f302ae7cc790343fa4f856ba 04ae6f113dafa52576032317e2aaf0c80531f77c
076fee3dc8e18a9f94ea7e75ba5bf3072ab1b207 409cec6725947cd1d04dec48c4de181d663275ea
079e76ddebf5f94bb03f3e74f93fc1540f7bdc5d e19e4523a9cecf81398e1fe97a6f0110fec1cf15
0803b29bb9d1c2e06231d0687b1210a21da05c9b e72828d5e50039446ece05974442f54aac729dd1
087e801f090b84a5725caf146d7cb5909623daa9 0df5f755d5da882cd0798d447800ea7c5ad980ec
087fe072baafdb8d0206c957ce8cd6f9d9fe5729 e711916c307baa38e7bca596bd44874e1c14f458
08ccb283ea8856e0ddc44bdcba4509b774226d8c 2bc8147b48c50a772d6ec3286c8579337e406414
08fe6f3ad6fc4ded76991b059a8ffefaf06c1129 c3952e7f0a19188ccfa21d17e8f8448d1a5ffc11
091e8cac47bbc49cdb84b0bfed227cc163b61dfe cbd6fdc84e0a3ab359d9798d13d3871f168cb829
0a454e8a9601fac1efbf9bef1adad7f84f6c2eb0 26e944ea7b3576d6f6496bfb027841ceb55bd491
0a7cb68c8c51ede4a29d6eb9bf96178e24bc0f04 3fe42d4b1ae8a9b5e5f2fdbf80fbfbb1ba85027d
0a828457319e8b7cf714e96f1fc265e0bb53497a 3edbcbf15765ae27f3e7eb2e8aa75ab8e5d791c5
0aa1b6378c3a225e3a8c0a653808cdf7d0527a04 54669d5575a035fef299f263bb2b7da0c088f107
0ac3fbe60403edd3a302a5c53500299360e31797 bb9a35e5e35a7fd9b53cf13e5bff183b4803b91b
0bb9eaef079eec09848d7e1fbbdba85f060277ea f3b2cbb565f9c9eec8154d6b139ca861e2550649
0bc96e7a587bd4b9f372fed540786d70b1f56368 b9df026ca8d98ffed3916912f731fb5de3bb6c77
0d1086ac39a86d7b87690a44f6588770b99abc16 341d930df22ef2556519cf3b9882ede3604dc58d
0d57f797cda6b3981fe4d8e6aa2fc49008dacb5e 42b2affcc23bb5c194a6f68ff34e8b6f5fcfb631
0e5237baed9c76e2b7d61ab649098638c04f2d1c bd2a429f2add1d29b2f6bc46879958997937cf5a
0f1b5035e7a019438df204c6c2ddee6e9fc35ba4 98ddc4653726e250f7f44d5b9bcbcf2983e36344
0f6f9b0a89050894beff934aa976f9b8279a4ebd 46feccd8ec805f07a62b0a88ee9857e21309e481
0f78c21bbf2e2b4329065d4c6cea89d33286c442 b7f1efc22579f26f4a8398824c9c2ee8464ba12d
0f9249c64fb277251e6a2921a36bd83a8a66305e 8ee8376f2d3dcff9eb767748442e3bf6ea92179c
0fcc394fc93dca8147679990ff550e3750a55bd5 fc14af1779d675b9ad2c4327043c2a10f2355d9b
